,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
-1,not,trump,people,get,like,need,would,election,one,president
Topic 0,biden,joe,president,hunter,concede,not,kamala,trump,harris,sleepy
Topic 1,parler,echo,welcome,glad,follow,post,massupvote,content,maga,truly
Topic 2,party,republican,rinos,rino,not,democrat,mitch,kemp,cruz,new
Topic 3,twitter,facebook,account,rumble,tech,not,duck,big,parlor,deleted
Topic 4,god,praying,amen,jesus,lord,pray,prevail,not,evil,prayer
Topic 5,boy,basement,proud,like,nut,not,bitch,little,back,fuck
Topic 6,china,chinese,virus,biden,beijing,swalwell,fang,communist,spy,not
Topic 7,not,people,country,reset,order,world,ppl,america,american,one
Topic 8,fox,newsmax,news,watch,oan,tucker,watching,network,cnn,oann
Topic 9,antifa,blm,police,supporter,defund,peaceful,not,domestic,trump,protest
