,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
-1,not,trump,people,get,like,need,would,one,president,know
Topic 0,china,chinese,ccp,virus,biden,not,communist,russia,beijing,country
Topic 1,parler,maga,follow,welcome,glad,content,trump,supporter,you,truly
Topic 2,party,republican,democrat,rinos,rino,dems,gop,coward,not,need
Topic 3,antifa,blm,terrorist,protest,supporter,not,trump,peaceful,people,riot
Topic 4,god,pray,praying,prayer,bless,president,trump,you,thank,amen
Topic 5,patriot,proud,boy,true,thank,american,you,not,god,bless
Topic 6,georgia,recount,vote,election,senate,not,ballot,state,republican,runoff
Topic 7,treason,hang,dementia,tribunal,treasonous,firing,squad,military,death,not
Topic 8,racist,white,black,house,racism,color,race,not,people,matter
Topic 9,fox,news,newsmax,watch,wallace,chris,watching,not,oan,hole
