,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
-1,not,trump,people,like,get,need,would,president,election,one
Topic 0,vaccine,covid,mask,virus,not,flu,people,death,get,test
Topic 1,parler,twitter,follow,welcome,glad,account,post,facebook,content,not
Topic 2,fbi,barr,biden,hunter,doj,flynn,not,epstein,cia,durham
Topic 3,party,republican,cruz,not,senator,need,trump,gop,senate,vote
Topic 4,thank,bless,god,christmas,happy,dan,you,well,keep,merry
Topic 5,god,lord,jesus,amen,pray,truth,evil,not,prevail,light
Topic 6,antifa,police,blm,supporter,capitol,protest,peaceful,capital,trump,not
Topic 7,stopthesteal,maga,trump,wwg,electionfraud,wga,kag,voterfraud,election,trumptrain
Topic 8,fox,news,tucker,newsmax,watch,hannity,watching,cnn,network,not
Topic 9,nut,ball,like,not,hollywood,you,bitch,suck,retard,face
